"no_dokumen","judul_kerma","jenis_dokumen_kerjasama","dasar_dokumen_kerjasama","deskripsi","status_kerma","tanggal_awal","tanggal_akhir","anggaran","sumber_pendanaan","dibuat","diubah"
"3090/E3/PKS/.08/KL/2021","Pengembangan Safety Bed Mover (SBM) Sebagai Upaya Peningkatan Kinerja Pelayanan Rumah Sakit dan Kemandirian Teknologi Alkes Nasional","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","","Aktif","09-08-2021","02-12-2021","300","Dikti","28 February 2022 15:36","28 February 2022 15:36"
"4500612341","Jasa Penyediaan Konsultan Untuk Migrasi Data Analisa Risk-Based Inspection (RBI) Blok Muriah (DA-21-0331)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Penyediaan Konsultan Untuk Migrasi Data Analisa Risk-Based Inspection (RBI) Blok Muriah (DA-21-0331)","Aktif","27-10-2021","27-12-2021","224378000","Bantuan Swasta","28 February 2022 09:04","28 February 2022 15:36"
"NO: PAGCS21025","Jasa Konsultansi Kajian Pengembangan TUKS Arun Dalam Mendukung Multi Bisnis PT Perta Arun Gas","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultansi Kajian Pengembangan TUKS Arun Dalam Mendukung Multi Bisnis PT Perta Arun Gas","Aktif","17-05-2021","16-09-2021","1087326900","Lainnya","27 February 2022 18:04","28 February 2022 15:34"
"BA.9639/ML.02.01/HOFC-2020","Pengembangan Kampung Hidroponik Binaan Pelindo III","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pengembangan Kampung Hidroponik Binaan Pelindo III","Tidak Aktif","04-01-2021","05-03-2021","120000000","Lainnya","27 February 2022 17:57","28 February 2022 15:33"
"027/13.04.01/KS/438.6.6/2021","Jasa Konsultan Penyusunan Desain Penanganan Banjir ( Desa Kedungbanteng dan Banjarasri Kecamatan Tangulangin Kabupaten Sidoarjo)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Konsultan Penyusunan Desain Penanganan Banjir ( Desa Kedungbanteng dan Banjarasri Kecamatan Tangulangin Kabupaten Sidoarjo)","Aktif","13-04-2021","21-06-2021","346016000","Dinas Kabupaten","27 February 2022 17:45","28 February 2022 15:32"
"0044.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Masterplan Geopark Bromo Tengger Semeru","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Masterplan Geopark Bromo Tengger Semeru","Aktif","15-04-2021","20-07-2021","250000000","Dinas Propinsi","27 February 2022 17:07","28 February 2022 15:30"
"0208.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Review Arsitektur Sistem Pemerintahan Berbasis Elektronik (SPBE) Pemerintah Kabupatan Madiun Tahun 2019-2023 Tahun Anggaran 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Review Arsitektur Sistem Pemerintahan Berbasis Elektronik (SPBE) Pemerintah Kabupatan Madiun Tahun 2019-2023 Tahun Anggaran 2021","Aktif","08-09-2021","08-11-2021","50000000","Dinas Kabupaten","28 February 2022 10:13","28 February 2022 15:28"
"4500438109, N.10 - FR324031337","Investigating the impact of Solar Geoengineering on Hydro-climatic Extremes in Southeast Asia","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Investigating the impact of Solar Geoengineering on Hydro-climatic Extremes in Southeast Asia","Aktif","31-05-2021","30-06-2023","","Lembaga donor luar negeri","28 February 2022 15:28","28 February 2022 15:28"
"T/60519/IT2.IV.3/KS.00.00/2021","Pembuatan Logo (City Branding) Kabupaten Jombang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Membuat Logo (City Branding) Kabupaten Jombang","Aktif","01-10-2021","18-10-2021","49940000","Dinas Kabupaten","28 February 2022 09:27","28 February 2022 15:23"
"074/5901/201.2/2021","Penyusunan Sistem Manajemen Data Digital Berbasis Spasial Dalam Menyusun Perencanaan Pembangunan Daerah Provinsi Jawa Timur","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Sistem Manajemen Data Digital Berbasis Spasial Dalam Menyusun Perencanaan Pembangunan Daerah Provinsi Jawa Timur","Aktif","29-03-2021","27-07-2021","400","Dinas Propinsi","28 February 2022 05:17","28 February 2022 15:22"
"074/5586/201.2/2021","Penyusunan Hasil Pelaksanaan Tanggung Jawab Sosial Perusahaan Tahun 2020","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Hasil Pelaksanaan Tanggung Jawab Sosial Perusahaan Tahun 2020","Aktif","24-03-2021","22-07-2021","400","Dinas Propinsi","28 February 2022 05:13","28 February 2022 15:20"
"PKS/10/IX/2021","Penelitian dan Pengembangan Konsentrator Oksigen TA. 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Penelitian dan Pengembangan Konsentrator Oksigen TA. 2021","Aktif","10-09-2021","22-11-2021","","Lembaga donor dalam negeri","28 February 2022 15:18","28 February 2022 15:18"
"027/01.03.01/425.022/SPK/2021","JASA KONSULTANSI PENELITIANSURVEI KEPUASAN MASYARAKAT TERHADAP PELAYANAN PUBLIKYANG DIBERIKAN OLEH PEMERINTAH KOTA PROBOLINGGO","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","MELAKUKAN JASA KONSULTANSI PENELITIANSURVEI KEPUASAN MASYARAKAT TERHADAP PELAYANAN PUBLIKYANG DIBERIKAN OLEH PEMERINTAH KOTA PROBOLINGGO","Aktif","01-03-2021","31-12-2021","175","Dinas Kabupaten","28 February 2022 03:23","28 February 2022 15:15"
"0021.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Evaluasi Indeks Pembangunan Manusia","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Evaluasi Indeks Pembangunan Manusia","Aktif","01-02-2021","22-04-2021","75","Dinas Kabupaten","28 February 2022 02:59","28 February 2022 15:12"
"0022.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Analisis Tingkat Pengangguran Terbuka","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Analisis Tingkat Pengangguran Terbuka","Aktif","01-02-2021","22-04-2021","22","Dinas Kabupaten","28 February 2022 02:45","28 February 2022 15:09"
"0188.1.00/IT2.IV.3/KS.00.03/2021","JASA KONSULTANSI PENYUSUNAN STUDI PEMANFAATAN ENERGI BARU TERBARUKAN (EBT) DI DUSUN MERAK - SITUBONDO","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan JASA KONSULTANSI PENYUSUNAN STUDI PEMANFAATAN ENERGI BARU TERBARUKAN (EBT) DI DUSUN MERAK - SITUBONDO","Aktif","04-10-2021","13-12-2021","373318165","Bantuan Swasta","28 February 2022 08:34","28 February 2022 15:07"
"0023.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Evaluasi Angka Kemiskinan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan  Penyusunan Dokumen Evaluasi Angka Kemiskinan","Aktif","01-02-2021","22-04-2021","100","Dinas Kabupaten","28 February 2022 02:42","28 February 2022 15:04"
"188/45/417.602.6/2021","Penyusunan Standar Satuan Harga (SSH)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Standar Satuan Harga (SSH)","Aktif","01-02-2021","30-04-2021","169","Dinas Kabupaten","27 February 2022 13:09","28 February 2022 14:56"
"569/IET-IETB/LGL/21","PENGEMBANGAN LABORATORIUM NEXT-GENERATION INTERNET SKALA NASIONAL ANTAR KAMPUS DAN INDUSTRI UNTUK MENDUKUNG PROGRAM MERDEKA BELAJAR KAMPUS MERDEKA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","PENGEMBANGAN LABORATORIUM NEXT-GENERATION INTERNET SKALA NASIONAL ANTAR KAMPUS DAN INDUSTRI UNTUK MENDUKUNG PROGRAM MERDEKA BELAJAR KAMPUS MERDEKA","Aktif","09-08-2021","02-12-2021","2","Dikti","28 February 2022 14:54","28 February 2022 14:54"
"0190.1.00/IT2.IV.3/KS.00.00/2020","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","02-02-2021","02-02-2022","45","Dinas Propinsi","27 February 2022 12:57","28 February 2022 14:52"
,"Penyusunan Masterplan Air Limbah Domestik Kabupaten Kediri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Masterplan Air Limbah Domestik Kabupaten Kediri","Aktif","08-02-2021","08-06-2021","350","Dinas Kabupaten","27 February 2022 12:45","28 February 2022 14:49"
"KU.09.09/WB-0A.0003/2021","INOVASI SELF HEALING PADA RETAK BETON DENGAN  MIKROBA TERKAPSULASI DALAM POZOLAN TERPILIH DI  INDONESIA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","INOVASI SELF HEALING PADA RETAK BETON DENGAN MIKROBA TERKAPSULASI DALAM POZOLAN TERPILIH DI INDONESIA","Aktif","09-08-2021","02-12-2021","413","Dikti","28 February 2022 14:44","28 February 2022 14:44"
"0011.1.00/IT2.IV.3/KS.00.00/2021","Rencana Pengembangan Infrastruktur Pendukung Koridor Pengembangan Kota Menengah","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Rencana Pengembangan Infrastruktur Pendukung Koridor Pengembangan Kota Menengah","Aktif","08-02-2021","10-06-2021","500","Dinas Propinsi","27 February 2022 11:58","28 February 2022 14:41"
"550/1968/SPK.DISHUB-KB/X/2021","Studi Revitalisasi Pelabuhan Royoq","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Studi Revitalisasi Pelabuhan Royoq","Aktif","05-10-2021","03-12-2021","","Dinas Kabupaten","28 February 2022 11:05","28 February 2022 14:41"
"T/11941/IT2.IV.1/HK.00.09/2021","Konsultasi Operasional Tenaga Kerja Bongkat Muat (TKBM) PT Pelabuhan Indonesia III (Persero)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultasi Operasional Tenaga Kerja Bongkat Muat (TKBM) PT Pelabuhan Indonesia III (Persero)","Aktif","16-07-2021","15-09-2021","114840000","Lainnya","28 February 2022 13:53","28 February 2022 14:32"
"KL1172.PJ/061/UPMKR/2021","PENGADAAN KAJIAN MEKANISME CRACK CASING & KONDISI COMPRESSOR VANE GTG 1.1 UNTUK PT PJB UNIT PEMBANGKITAN MUARA KARANG","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","MELAKUKAN PENGADAAN KAJIAN MEKANISME CRACK CASING &amp; KONDISI COMPRESSOR VANE GTG 1.1 UNTUK PT PJB UNIT PEMBANGKITAN MUARA KARANG","Aktif","22-11-2021","31-12-2021","","Lainnya","28 February 2022 14:22","28 February 2022 14:22"
"0013.1.00/ IT2.IV.3/KS.00.00/2021","Pengembangan Infrastruktur Ke bencanaan Terkait Sunami di Wilayah Selatan Jawa Timur","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pengembangan Infrastruktur Ke Bencanaan Terkait Sunami di Wilayah Selatan Jawa Timur","Aktif","08-02-2021","10-06-2021","500","","27 February 2022 11:52","28 February 2022 14:15"
"2903 /E3/PKS.08/KL/2021","Rancang Bangun Virtual Power Plant ","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Rancang Bangun Virtual Power Plant ""PJB LQ System""","Aktif","04-08-2021","02-12-2021","1","Dikti","28 February 2022 14:14","28 February 2022 14:14"
"T/11694/IT2.I/KS.00.03/2021","Kerjasama Program Magang Bersertifikat","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Kerjasama program magang mahasiswa bersertifikat dengan PT Virama Karya (Persero) pada tahun 2021, diikuti oleh 1 mahasiswa Program Studi S1 Teknik Sipil.","Aktif","01-03-2021","01-03-2022","","","28 February 2022 12:57","28 February 2022 14:07"
"T/54211/IT2.I/KS.00.03/2021","Program Magang Mahasiswa Bersertifikat","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Kerjasama PMMB dengan PT Garam (Persero) pada tahun 2021 dan diikuti oleh 1 mahasiswa dari program studi S1 Teknik Geofisika","Aktif","06-09-2021","06-09-2022","","","28 February 2022 13:54","28 February 2022 14:06"
"2908/E3/PKS.08/KL/2021","Pengembangan Next-Generation ICT Innovation Center Sebagai Inisiasi Ekosistem Inovasi Untuk Mendukung Kemandirian Industri dan Transformasi Digital","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Pengembangan Next-Generation ICT Innovation Center Sebagai Inisiasi Ekosistem Inovasi Untuk Mendukung Kemandirian Industri dan Transformasi Digital","Aktif","04-08-2021","02-12-2021","2","Dikti","28 February 2022 14:05","28 February 2022 14:05"
"T/45311/IT2.I/KS.00.03/2021","Penyelenggaraan Program Magang Bersertifikat Batch I Tahun 2021","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Kerjasama program magang PMMB dengan PT Pelabuhan Indonesia III, diikuti oleh 17 mahasiswa dari berbagai program studi.","Aktif","01-03-2021","01-02-2022","","","28 February 2022 13:25","28 February 2022 14:01"
"T/11934/IT2.IV.1/HK.00.09/2021","Peningkatan/Perkuatan Tanggul Penahan Lumpur di Kabupaten Sidoarjo","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Peningkatan/Perkuatan Tanggul Penahan Lumpur di Kabupaten Sidoarjo","Aktif","07-10-2021","19-11-2021","","Lainnya","28 February 2022 13:55","28 February 2022 13:55"
"T/54173/IT2.I/KS.00.03/2020","Kerjasama Program Magang Mahasiswa Bersertifikat di PT Perkebunan Nusantara X","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Kerjasama dengan PT Perkebunan Nusantara X dalam Penyelenggaraan Program Magang Mahasiswa Bersertifikat periode September 2020 - Maret 2021","Aktif","07-09-2020","05-03-2021","","","28 February 2022 13:54","28 February 2022 13:54"
"T/18130/IT2.I/KS.00.03/2021","Program Magang Mahasiswa Bersertifikat di PT Perkebunan Nusantara X","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Kerjasama dengan PT Perkebunan Nusantara X terkait Penyelenggaraan Program Magang Mahasiswa Bersertifikat","Aktif","29-03-2021","28-09-2021","","","28 February 2022 13:48","28 February 2022 13:48"
"T/11942/IT2.IV.1/HK.00.09/2021","Jasa Konsultasi Kajian Investasi Reefer Container","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Konsultasi Terkait Kajian Investasi Reefer Container","Aktif","17-05-2021","30-06-2021","92070000","Lainnya","28 February 2022 13:46","28 February 2022 13:46"
"T/14044/IT2.I/KS.00.03/2021","Penyelenggaraan Program Magang Mahasiswa Bersertifikat","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Kerjasama PMMB dengan PT Pegadaian tahun 2021, diikuti oleh 7 mahasiswa dari berbagai program studi.","Aktif","15-03-2021","18-09-2021","","","28 February 2022 13:46","28 February 2022 13:46"
"027/1945.1/021/2021","Kajian Kelayakan Pasar BUMD Pelabuhan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Kajian Kelayakan Pasar BUMD Pelabuhan","Aktif","13-08-2021","11-11-2021","","Lainnya","28 February 2022 13:46","28 February 2022 13:46"
"027/1945/021/2021","Kajian Evaluasi Kinerja BUMD Aneka Usaha Migas","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Kajian Evaluasi Kinerja BUMD Aneka Usaha Migas","Aktif","13-08-2021","10-11-2021","","Lainnya","28 February 2022 13:43","28 February 2022 13:43"
"027 / 1945 /021/2021","Kajian Evaluasi Kinerja Usaha BUMD Aneka Migas","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Evaluasi Kinerja Usaha BUMD Aneka Migas","Aktif","13-08-2021","10-11-2021","100","Dinas Propinsi","28 February 2022 13:43","28 February 2022 13:43"
"T/13739/IT2.IV.1/HK.00.02/2021","Penyusunan Strategi Pelayanan Logistik LNG Untuk 9 Titik Pembangkit Listrik di Wilayah Kerja PT Pelindo III (Persero)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Strategi Pelayanan Logistik LNG Untuk 9 Titik Pembangkit Listrik di Wilayah Kerja PT Pelindo III (Persero)","Aktif","01-04-2021","30-06-2021","","Lainnya","28 February 2022 13:32","28 February 2022 13:40"
"KL1172.PJ/061/UPMKR/2021","Kajian Mekanisme Crack Casing dan Kondisi COmpressor Vane GTG 1.1 Untuk PT PJB Unit Pembangkitan Muara Karang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Kajian Mekanisme Crack Casing dan Kondisi COmpressor Vane GTG 1.1 Untuk PT PJB Unit Pembangkitan Muara Karang","Aktif","22-11-2021","21-04-2022","","","28 February 2022 13:40","28 February 2022 13:40"
"T/13736/IT2.IV.1/HK.00.02/2021","Jasa Konsultansi Kajian Studi Power Quality: Studi Kualitas Daya Listrik di Pabrik Oksigen di Wilayah Jawa Timur dan Jawa Tengah","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Konsultansi Kajian Studi Power Quality: Studi Kualitas Daya Listrik di Pabrik Oksigen di Wilayah Jawa Timur dan Jawa Tengah","Aktif","07-10-2021","07-09-2021","","Lainnya","28 February 2022 13:40","28 February 2022 13:40"
"T/13284/IT2.I/KS.00.03/2021","Program Magang Mahasiswa Bersertifikat","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Kerjasama PMMB dengan PT Bank Mandiri (Persero) tahun 2021 yang diikuti oleh 2 mahasiswa dari Program Studi Statistika dan Teknik Komputer.","Aktif","08-03-2021","08-09-2021","","","28 February 2022 13:38","28 February 2022 13:38"
,"Redesain Shaft Ship Unloader PLTU Paiton","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Redesain Shaft Ship Unloader PLTU Paiton","Aktif","07-06-2021","02-08-2021","","","28 February 2022 13:38","28 February 2022 13:38"
"027/ 1945.1 /021/2021","Kajian Kelayakan Pasar BUMD Pelabuhan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Kelayakan Pasar BUMD Pelabuhan","Aktif","13-08-2021","10-11-2021","99","","28 February 2022 13:37","28 February 2022 13:37"
"17/PP/PKP/VI-21","Studi Peningkatan Peran Straitrep di Selat Malaka dan Selat Singapura","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Studi Peningkatan Peran Straitrep di Selat Malaka dan Selat Singapura","Aktif","18-06-2021","15-11-2021","","Lainnya","28 February 2022 13:35","28 February 2022 13:35"
"53/MoU/ITS/2021","Kerjasama Pendidikan, Penelitian, dan Pengabdian Kepada Masyarakat dengan PT Sentra Vidya Utama","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Kerjasama dengan PT Sentra Vidya Utama dalam Kegiatan Pendidikan, Penelitian, dan Pengabdian Kepada Masyarakat meliputi:
1. Peningkatan dan Pengembangan Kompetensi Sumber Daya Manusia Melalui Sharing Knowledge, dan pengiriman tenaga lnstruktur dan Dosen Industri
2. Penyelenggaraan Program Magang Industri Untuk Mahasiswa, Alumni dan Dosen
3. Penyelenggaraan Program Beasiswa Untuk Mahasiswa
4. Penyelenggaraan Kegiatan Ilmiah, Kajian Ilmiah, seminar dan Lokakarya
5. Pengembangan dan Evaluasi Kurikulum
6. Penyelenggaraan penelitian
7. Rekrutmen tenaga kerja
8. Kerjasama bidang lain yang relevan","Aktif","06-05-2021","06-05-2024","","","28 February 2022 13:35","28 February 2022 13:35"
"162/TGE-SO-ITS/XII/2021","Workshop Reability Blok Diagram (RBD) dan Perhitungan Plant Reability dan Avaibility","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Workshop Reability Blok Diagram (RBD) dan Perhitungan Plant Reability dan Avaibility","Aktif","13-12-2021","17-12-2021","","Lainnya","28 February 2022 13:29","28 February 2022 13:32"
"SPORD/21/11/002/00625","Analisa Kopolimer Polypropylene-Polypropylene PT Mitra Mulia","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Analisa Kopolimer Polypropylene-Polypropylene PT Mitra Mulia","Aktif","30-11-2021","17-12-2021","","Lainnya","28 February 2022 13:32","28 February 2022 13:32"
"T/13739/IT2.IV.1/HK.00.02/2021","Penyusunan Strategi Pelayanan Logistik LNG Untuk 9 Titik Pembangkit Listrik di Wilayah Kerja PT Pelindo III (Persero)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Strategi Pelayanan Logistik LNG Untuk 9 Titik Pembangkit Listrik di Wilayah Kerja PT Pelindo III (Persero)","Aktif","01-04-2021","30-06-2021","","","28 February 2022 13:32","28 February 2022 13:32"
"2907 /E3/PKS.08/KL/2021","Hilirisasi Modular Vehicle Control Unit Terpadu untuk  Bus Listrik Nasional","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Hilirisasi Modular Vehicle Control Unit Terpadu untuk 
Bus Listrik Nasional","Aktif","04-08-2021","02-12-2021","603","Dikti","28 February 2022 13:27","28 February 2022 13:27"
"202069045","Engineering Services of SRRL (Surabaya Regional Railway Line) Preliminary Land Aquisition Resettlement Actiion Plan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Engineering Services of SRRL (Surabaya Regional Railway Line) Preliminary Land Aquisition Resettlement Actiion Plan","Aktif","09-09-2021","30-11-2021","","","28 February 2022 13:26","28 February 2022 13:26"
"5300038433","Jasa Pemodelan Computational Fulid Dinamics (CFD) Unit Secondary Reformer Pabrik S","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Jasa Pemodelan Computational Fulid Dinamics (CFD) Unit Secondary Reformer Pabrik S","Aktif","20-07-2021","02-11-2021","","Lainnya","28 February 2022 13:21","28 February 2022 13:25"
"2906 /E3/PKS.08/KL/2021","Rekacipta Stasiun Penukaran Baterai Kendaraan Listrik Umum (SPBKLU) untuk Percepatan Pemakaian Sepeda Motor Listrik Gesits di Indonesia","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Rekacipta Stasiun Penukaran Baterai Kendaraan Listrik Umum (SPBKLU) untuk Percepatan Pemakaian Sepeda Motor Listrik Gesits di Indonesia","Aktif","04-08-2021","02-12-2021","990","Dikti","28 February 2022 13:18","28 February 2022 13:24"
"TH.05.17-01/SPK/2021","Jasa Konsultasi Kajian Investasi Kapal Barang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Jasa Konsultasi Kajian Investasi Kapal Barang","Aktif","17-05-2021","17-08-2021","","Lainnya","28 February 2022 13:19","28 February 2022 13:19"
"BKP/22/PPLS/X/2021","Peningkatan/Perkuatan Tanggul Penahan Lumpur di Kabupaten Sidoarjo","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Peningkatan/Perkuatan Tanggul Penahan Lumpur di Kabupaten Sidoarjo","Aktif","07-10-2021","19-11-2021","","","28 February 2022 13:16","28 February 2022 13:16"
"G-Jak-013","Grant Between DAI Global LLC and PT ITS Tekno Sains: Engaging Business Development Services (BDS) to Build Business Capacity of Sanitation Entrepreneurs in East Java Region Office (EJRO) of Usaid Iuwash Plus","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Grant Between DAI Global LLC and PT ITS Tekno Sains: Engaging Business Development Services (BDS) to Build Business Capacity of Sanitation Entrepreneurs in East Java Region Office (EJRO) of Usaid Iuwash Plus","Aktif","01-03-2021","01-12-2021","","","28 February 2022 13:02","28 February 2022 13:14"
,"Jasa Konsultasi Kajian Investasi Reefer Container","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Jasa Konsultasi Kajian Investasi Reefer Container","Aktif","17-05-2021","30-06-2021","","","28 February 2022 13:10","28 February 2022 13:13"
"4200016142","Konsultasi Operasional Tenaga Kerja Bongkar Muat (TKBM) PT Pelabuhan Indonesia III Persero","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Konsultasi Operasional Tenaga Kerja Bongkar Muat (TKBM) PT Pelabuhan Indonesia III Persero","Aktif","16-07-2021","15-09-2021","","Lainnya","28 February 2022 13:13","28 February 2022 13:13"
"SP2.51.1./HK.0502/P.III-2021","Penyusunan Strategi Pelayanan Logistik LNG Untuk 9 Titik Pembangkit Listrik di Wilayah Kerja PT Pelindo III Persero","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Penyusunan Strategi Pelayanan Logistik LNG Untuk 9 Titik Pembangkit Listrik di Wilayah Kerja PT Pelindo III Persero","Aktif","01-04-2021","30-06-2021","","","28 February 2022 13:04","28 February 2022 13:13"
"035/10/ITS-TEKNO/PKS/2021","Jasa Konsultasi Kajian Studi Power Quality: Study Kualitas Daya Listrik di Pabrik Oksigen di Wilayah Jawa Timur dan Jawa Tengah","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Jasa Konsultasi Kajian Studi Power Quality: Study Kualitas Daya Listrik di Pabrik Oksigen di Wilayah Jawa Timur dan Jawa Tengah","Aktif","07-10-2021","07-09-2021","","","28 February 2022 13:07","28 February 2022 13:07"
"2301/PJ/DAN.01.02/DIRGG/2021","Perjanjian Antara PT Pengembang Listrik Nasional Gas dan Geothermal dan PT ITS Tekni Sains tentang Jasa Konsultasi Penyusunan Estimasi Biaya Relokasi FSRU Xua Xiang 8 dari Amurang ke Gorontalo","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Antara PT Pengembang Listrik Nasional Gas dan Geothermal dan PT ITS Tekni Sains tentang Jasa Konsultasi Penyusunan Estimasi Biaya Relokasi FSRU Xua Xiang 8 dari Amurang ke Gorontalo","Aktif","23-07-2021","22-08-2021","","","28 February 2022 12:58","28 February 2022 12:58"
"0064.Pj/DAN.01.03/C45000000/2021","Evaluasi Master Plan Infrastruktur Pertamina Group","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Evaluasi Master Plan Infrastruktur Pertamina Group","Aktif","30-11-2021","29-04-2022","","Lainnya","28 February 2022 12:54","28 February 2022 12:54"
"0206/05/ITS-TEKNO/TSC/2021","Perjanjian Antara PT PLN Persero dengan PT ITS Tekno Sains tentang Pekerjaan Kajian dan SImulasi Aliran dan Pembakaran CFV Boiler PLTU Teluk Sirih","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Antara PT PLN Persero dengan PT ITS Tekno Sains tentang Pekerjaan Kajian dan SImulasi Aliran dan Pembakaran CFV Boiler PLTU Teluk Sirih","Aktif","28-06-2021","08-02-2022","","","28 February 2022 12:52","28 February 2022 12:52"
"PO21RW00222-141 BP","Phase-1 Engineering Study For Tangguh LNG Jetty","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Phase-1 Engineering Study For Tangguh LNG Jetty","Aktif","17-06-2021","07-10-2021","","Lainnya","28 February 2022 12:48","28 February 2022 12:48"
,"Work Order Adendum Andal, RKL-RPL Kegiatan Pengembangan PT Smelting","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Work Order Adendum Andal, RKL-RPL Kegiatan Pengembangan PT Smelting","Aktif","22-09-2021","21-12-2021","","Lainnya","28 February 2022 12:44","28 February 2022 12:44"
"044/T/PJJ/A02101/146400000K/HK.03/VI/2021","Perjanjian Tentang Pekerjaan Jasa Konsultan Model Simulasi Safety Stock Batubara","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Tentang Pekerjaan Jasa Konsultan Model Simulasi Safety Stock Batubara","Aktif","02-06-2021","21-09-2021","","","28 February 2022 12:41","28 February 2022 12:41"
